popup_image_url	source	views	registration	conversion
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/03/Book-Marketing-Checklist-comp-300x165.jpg	popup_image_url	10003.0	301.0	3.009097270818754
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-12-300x157.jpg	popup_image_url	23730.0	714.0	3.0088495575221237
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/03/Modal-sma-300x157.jpg	popup_image_url	50582.0	1519.0	3.0030445613063934
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/Trad-pub-101-1-300x157.jpg	popup_image_url	1400.0	42.0	3.0
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/09/Character-dev-template-1-768x384-300x150.jpg	popup_image_url	46228.0	1351.0	2.9224712295578437
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/How-to-write-a-novel-1-300x157.jpg	popup_image_url	18774.0	546.0	2.9082774049217
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/04/Artboard-Copy-3-300x150.jpg	popup_image_url	17871.0	518.0	2.898550724637681
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/05/Novel-Checklist-1-300x157.jpg	popup_image_url	1246.0	35.0	2.8089887640449436
https://images-cdn.bookly.com/discovery/modal/31/modal_image/85bd806e8c318fa195f41d929f38bdf4f04f0474.jpg	popup_image_url	756.0	21.0	2.7777777777777777
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/12/Romance-Header-300x157.jpg	popup_image_url	2058.0	56.0	2.7210884353741496
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2017/08/Childrens-books-101-300x157.jpg	popup_image_url	2583.0	70.0	2.710027100271003
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-5-300x157.jpg	popup_image_url	6209.0	168.0	2.705749718151071
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-2-300x157.jpg	popup_image_url	10003.0	266.0	2.6592022393282013
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/Query-letter-course-Copy-300x167.jpg	popup_image_url	1323.0	35.0	2.6455026455026456
https://blog-cdn.bookly.com/directories/admin/modal/4/medium_545c923adeecc6008f2f04a32290d38a.jpg	popup_image_url	4025.0	105.0	2.608695652173913
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/03/Checklists-10-300x157.jpg	popup_image_url	39557.0	994.0	2.512829587683596
https://blog-cdn.bookly.com/directories/admin/modal/59/medium_9db07afdbb8e3b77f7561748a260b50d.jpg	popup_image_url	6146.0	154.0	2.5056947608200453
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2017/08/What-do-freelance-editors-and-designers-make-300x150.jpg	popup_image_url	2534.0	63.0	2.4861878453038675
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/11/Writing-Prompts-Alpha-300x200.jpg	popup_image_url	10626.0	252.0	2.371541501976284
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/02/Romance-Header-574x300-300x157.jpg	popup_image_url	12460.0	294.0	2.359550561797753
https://blog-cdn.bookly.com/directories/admin/modal/66/medium_ff0aaeff19514b85456b647a1d686cbe.jpg	popup_image_url	2982.0	70.0	2.3474178403755865
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/11/modal-book-launch-552x300-300x163.jpg	popup_image_url	12383.0	287.0	2.317693612210288
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/01/Short-story-Copy-2-1-300x150.jpg	popup_image_url	924.0	21.0	2.272727272727273
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-1-300x157.jpg	popup_image_url	20601.0	462.0	2.2426095820591234
https://blog-cdn.bookly.com/directories/admin/modal/61/medium_f384c21162140fd3466cb79c68599d52.jpg	popup_image_url	11025.0	245.0	2.2222222222222223
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/11/prompts_contest-300x158.jpg	popup_image_url	31409.0	616.0	1.9612213059950971
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/10/Cover-Design-Marketplace-Young-300x200.jpg	popup_image_url	1099.0	21.0	1.910828025477707
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/02/the-book-launch-300x175.jpg	popup_image_url	4795.0	91.0	1.897810218978102
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/RBE_laptop1-300x200.jpg	popup_image_url	59556.0	1127.0	1.8923366243535495
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/Narative-ARc-300x157.jpg	popup_image_url	9793.0	182.0	1.858470335954253
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/04/writing-contest-300x158.jpg	popup_image_url	5789.0	105.0	1.8137847642079807
https://blog-cdn.bookly.com/directories/admin/modal/19/medium_9733164def96136aebd4f53a27a6fcf9.jpg	popup_image_url	1197.0	21.0	1.7543859649122806
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-4-300x157.jpg	popup_image_url	11424.0	196.0	1.715686274509804
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/05/Start-writing-your-book-300x157.jpg	popup_image_url	1225.0	21.0	1.7142857142857144
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/modal-book-launch-300x163.jpg	popup_image_url	7819.0	133.0	1.7009847806624887
https://images-cdn.bookly.com/discovery/modal/13/modal_image/d69741b4b34bda6e85907412ba97a2f0f94a3aee.jpg	popup_image_url	4627.0	77.0	1.6641452344931922
https://images-cdn.bookly.com/discovery/modal/85/modal_image/8a608cb76d7427c6deca2f1b77a691d34527f0b6.jpg	popup_image_url	9254.0	147.0	1.588502269288956
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/04/Illustrator-1-300x169.jpg	popup_image_url	15022.0	238.0	1.5843429636533086
https://blog-cdn.bookly.com/directories/admin/modal/3/medium_8f924f0c9cc8c4d07e22b1aa07cec20f.jpg	popup_image_url	14021.0	217.0	1.547678482276585
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/Short-story-300x157.jpg	popup_image_url	5908.0	91.0	1.5402843601895735
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/Book-design-101-1-300x157.jpg	popup_image_url	49084.0	756.0	1.540216771249287
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/11/prompts_cure-300x158.jpg	popup_image_url	8722.0	126.0	1.4446227929373996
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/09/Manuscript-template-header-300x157.jpg	popup_image_url	18487.0	259.0	1.4009844755774328
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/02/Checklists-6-300x157.jpg	popup_image_url	37996.0	455.0	1.197494473102432
https://blog.bookly.com/wp-content/uploads/2018/05/Dialog-300x157.jpg	popup_image_url	2996.0	35.0	1.1682242990654206
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/06/Artboard-Copy-1-300x188.jpg	popup_image_url	15652.0	182.0	1.1627906976744187
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/05/modal-signup-image-300x168.jpg	popup_image_url	1883.0	21.0	1.1152416356877324
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2020/04/Illustrator-5-300x169.jpg	popup_image_url	18340.0	203.0	1.1068702290076335
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2019/11/Team-Modal-300x200.jpg	popup_image_url	41034.0	448.0	1.0917775503241216
https://d2ybmm5cpznb3i.cloudfront.net/wp-content/uploads/2018/02/preview-full-Publishing-a-picture-book-300x157.jpg	popup_image_url	1946.0	21.0	1.079136690647482
https://blog-cdn.bookly.com/directories/admin/modal/68/medium_4540417c6dce90cd3db51447ff901673.jpg	popup_image_url	362103.0	3892.0	1.0748322990972181
