popup_name	source	views	registration	conversion
Marketplace Professionals Alpha	popup_name	7371.0	105.0	1.4245014245014245
Manuscript Template	popup_name	18487.0	259.0	1.4009844755774328
bookly | Poetry Editor | 2020-03	popup_name	1596.0	21.0	1.3157894736842104
Default	popup_name	8442.0	105.0	1.2437810945273633
Learning | Writing a Novel | 2020-03	popup_name	388304.0	4767.0	1.2276463801557542
Literary Devices 3 (New Style)	popup_name	37996.0	455.0	1.197494473102432
Freelancer Blog Exit Modal – Clients	popup_name	1757.0	21.0	1.1952191235059761
Learning | Structure | 2020-05	popup_name	15652.0	182.0	1.1627906976744187
Marketplace Editing Golf	popup_name	3157.0	35.0	1.1086474501108647
bookly | Illustrator | 2020-04-b	popup_name	18340.0	203.0	1.1068702290076335
Learning Picture Book	popup_name	1946.0	21.0	1.079136690647482
Upgrade | Character Profile | 2020-03	popup_name	281715.0	2989.0	1.061001366629395
Literary Devices 1	popup_name	44940.0	469.0	1.043613707165109
Literary Devices 2	popup_name	57862.0	602.0	1.0404064843939027
Freelance Report 1	popup_name	7483.0	77.0	1.028999064546305
Learning Dialogue	popup_name	3416.0	35.0	1.0245901639344261
Learning | Marketing 101 | 2020-05	popup_name	6958.0	70.0	1.0060362173038229
Discovery - Book Review Template #2	popup_name	14861.0	147.0	0.9891662741403674
POV Cheatsheet 5	popup_name	4340.0	42.0	0.967741935483871
Dialogue Tags	popup_name	17612.0	168.0	0.9538950715421303
Plot Twist 3	popup_name	27993.0	259.0	0.9252313078269567
bookly | Query Review | 2020-06	popup_name	8372.0	77.0	0.919732441471572
Discovery - Books To Read Before You Die Checklist #1	popup_name	3822.0	35.0	0.9157509157509158
Freelancer Exit Modal – Career	popup_name	9233.0	84.0	0.9097801364670205
Learning Writing Routine	popup_name	8806.0	77.0	0.8744038155802861
Learning | Short Story | 2020-03	popup_name	162764.0	1358.0	0.8343368312403234
Discovery - Books To Read Before You Die Checklist #3	popup_name	2891.0	21.0	0.7263922518159807
POV Cheatsheet 4	popup_name	8134.0	56.0	0.6884681583476765
Discovery - Carry On	popup_name	3101.0	21.0	0.6772009029345373
Discovery - Free Books	popup_name	8554.0	56.0	0.6546644844517185
Worldbuilding Template 2 (New Design)	popup_name	16891.0	105.0	0.6216328222130129
Freelancer Exciting Clients	popup_name	13587.0	84.0	0.6182380216383307
bookly Book Editor Beta (Photo 1)	popup_name	10381.0	63.0	0.6068779501011463
Discovery - Books To Read Before You Die Checklist #5	popup_name	9240.0	56.0	0.6060606060606061
Learning | Characters | 2020-03	popup_name	34608.0	203.0	0.5865695792880259
Learning Design	popup_name	15561.0	91.0	0.5847953216374269
bookly Book Editor Charlie (Photo 1)	popup_name	53046.0	294.0	0.5542359461599367
Rhetorical Devices List 2	popup_name	10570.0	56.0	0.5298013245033113
Discovery - Romance Alpha #6	popup_name	4529.0	21.0	0.46367851622874806
Learning | POV | 2020-05	popup_name	4676.0	21.0	0.4491017964071856
Discovery - Books To Read Before You Die Checklist #4	popup_name	9569.0	42.0	0.43891733723482074
Marketplace Ghostwriter	popup_name	5075.0	21.0	0.41379310344827586
Learning | Self vs Trad | 2020-05	popup_name	8932.0	35.0	0.3918495297805642
Discovery - Book Review Template #1	popup_name	14364.0	56.0	0.3898635477582846
bookly Book Editor Hotel (Photo 1)	popup_name	5453.0	21.0	0.38510911424903727
Discovery - YA Romance 1	popup_name	19593.0	70.0	0.35727045373347627
Learning | Self-Editing | 2020-03	popup_name	33789.0	105.0	0.3107520198881293
Discovery - Reading Log #3	popup_name	8071.0	21.0	0.26019080659150046
Default - Fantasy #2	popup_name	10542.0	21.0	0.199203187250996
Discovery - Reading Log #2	popup_name	33593.0	63.0	0.18753907063971662
Learning | Trad Pub | 2020-04	popup_name	12852.0	21.0	0.16339869281045752
Discovery - Isaac Newton #1	popup_name	16562.0	21.0	0.12679628064243448
Discovery - YA Fantasy 1	popup_name	29813.0	35.0	0.11739845034045551
Discovery - Reading Log #1	popup_name	18158.0	21.0	0.1156515034695451
Default – Discovery	popup_name	54222.0	42.0	0.0774593338497289
Default - Horror	popup_name	2653.0	0.0	0.0
Freelancer Blog Exit Modal – Money	popup_name	56.0	0.0	0.0
Word Count Infographic 2	popup_name	56.0	0.0	0.0
Freelancer Blog Exit Modal – Clients 2	popup_name	42.0	0.0	0.0
Default - Mystery Thriller	popup_name	2268.0	0.0	0.0
Discovery - Hemingway Alpha #4	popup_name	4697.0	0.0	0.0
Discovery - HP Beta #2	popup_name	2975.0	0.0	0.0
Discovery - Free Cozy Books	popup_name	70.0	0.0	0.0
Default - Fantasy	popup_name	4207.0	0.0	0.0
Learning | Big 5 | 2020-06	popup_name	3409.0	0.0	0.0
Discovery - Horror #1	popup_name	3318.0	0.0	0.0
Discovery Reviewer Beta 2	popup_name	7294.0	0.0	0.0
Discovery Reviewer Alpha 2	popup_name	7490.0	0.0	0.0
Discovery Generic 2 (good reads)	popup_name	3969.0	0.0	0.0
Discovery - Time Machine #1	popup_name	2940.0	0.0	0.0
Discovery - The Collapsing Empire	popup_name	21.0	0.0	0.0
Rhetorical and Literary Devices v3	popup_name	294.0	0.0	0.0
Discovery - Romance Alpha #5	popup_name	4039.0	0.0	0.0
Discovery - Generic Beta #3	popup_name	2457.0	0.0	0.0
bookly Book Editor Delta	popup_name	980.0	0.0	0.0
bookly Book Editor Echo (Photo 1)	popup_name	1302.0	0.0	0.0
Discovery - Romance #2	popup_name	1568.0	0.0	0.0
bookly | Cookbook Editors | 2020-04	popup_name	21.0	0.0	0.0
Discovery - Post-Apocalyptic Alpha #3	popup_name	2758.0	0.0	0.0
Discovery - Murder on the Links #1	popup_name	1442.0	0.0	0.0
Discovery - Sci-Fi 1	popup_name	4081.0	0.0	0.0
Marketplace Web Designers	popup_name	56.0	0.0	0.0
Learning Actually Write	popup_name	1729.0	0.0	0.0
Marketplace Editing Echo	popup_name	238.0	0.0	0.0
Marketplace Editing Charlie	popup_name	35.0	0.0	0.0
Marketplace Designer Echo	popup_name	707.0	0.0	0.0
Marketplace Designer Directories 2	popup_name	868.0	0.0	0.0
Learning Query Letters	popup_name	21.0	0.0	0.0
Learning Self Edit	popup_name	777.0	0.0	0.0
Learning Self Pub	popup_name	2401.0	0.0	0.0
Learning Story Structure #2	popup_name	161.0	0.0	0.0
Discovery - Historical Romance 1	popup_name	2653.0	0.0	0.0
Discovery - 12 Years a Slave #1	popup_name	15064.0	0.0	0.0
Discovery - Generic Beta #2	popup_name	3136.0	0.0	0.0
Learning Write a Novel #2	popup_name	469.0	0.0	0.0
Discovery - Adventure Alpha #1	popup_name	3696.0	0.0	0.0
Learning | Facebook Ads | 2020-03	popup_name	21.0	0.0	0.0
Discovery - Adventures of Tom Sawyer #1	popup_name	833.0	0.0	0.0
Discovery - Adventure Alpha #2	popup_name	4046.0	0.0	0.0
Marketplace Editing Delta	popup_name	399.0	0.0	0.0
Discovery - David Copperfield #1	popup_name	1190.0	0.0	0.0
Default - Romance	popup_name	287.0	0.0	0.0
Marketplace Editing Mobile 1	popup_name	56.0	0.0	0.0
Default - Science Fiction	popup_name	4669.0	0.0	0.0
Learning Character Dev	popup_name	182.0	0.0	0.0
Discovery - Fantasy #2	popup_name	161.0	0.0	0.0
Learning | BookBub Ads | 2020-06	popup_name	1029.0	0.0	0.0
Marketplace Query Letter Review 2	popup_name	252.0	0.0	0.0
