popup_version|start_date|popup_category	source	views	registration	conversion
"[""A"",""2020-06-05"",""Understanding Publishing""]"	popup_version|start_date|popup_category	21602.0	294.0	1.3609850939727801
"[""A"",""2020-03-13"",""Book Design""]"	popup_version|start_date|popup_category	1575.0	21.0	1.3333333333333335
"[""B"",""2019-12-13"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	5306.0	70.0	1.3192612137203166
"[""B"",""2020-06-12"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	6006.0	77.0	1.282051282051282
"[""A"",""2020-05-08"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	1694.0	21.0	1.2396694214876034
"[""A"",""2020-02-07"",""Understanding Publishing""]"	popup_version|start_date|popup_category	2863.0	35.0	1.2224938875305624
"[""B"",""2020-03-27"",""Book Design""]"	popup_version|start_date|popup_category	2905.0	35.0	1.2048192771084338
"[""B"",""2020-03-13"",""Book Design""]"	popup_version|start_date|popup_category	1750.0	21.0	1.2
"[""B"",""2020-02-13"",""Understanding Publishing""]"	popup_version|start_date|popup_category	1820.0	21.0	1.153846153846154
"[""A"",""2020-05-07"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	95571.0	1092.0	1.1426060206548012
"[""A"",""2019-08-23"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	8134.0	91.0	1.1187607573149743
"[""B"",""2020-05-08"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	3129.0	35.0	1.1185682326621924
"["""","""",""""]"	popup_version|start_date|popup_category	5075.0	56.0	1.103448275862069
"["""",""2020-05-01"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	41475.0	455.0	1.0970464135021099
"["""",""2020-05-27"",""Understanding Publishing""]"	popup_version|start_date|popup_category	1967.0	21.0	1.0676156583629894
"[""A"",""2020-05-26"",""generator""]"	popup_version|start_date|popup_category	94108.0	980.0	1.0413567390657543
"[""A"",""2020-06-05"",""generator""]"	popup_version|start_date|popup_category	234157.0	2338.0	0.9984753819018863
"[""A"",""2019-10-22"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	2114.0	21.0	0.9933774834437087
"[""B"",""2020-04-27"",""discovery""]"	popup_version|start_date|popup_category	14861.0	147.0	0.9891662741403674
"[""A"",""2020-03-10"",""""]"	popup_version|start_date|popup_category	14259.0	140.0	0.9818360333824251
"[""A"",""2020-05-05"",""Book Design""]"	popup_version|start_date|popup_category	20699.0	203.0	0.9807237064592492
"[""B"",""2020-05-01"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	57008.0	553.0	0.9700392927308448
"[""A"",""2020-05-06"",""Book Design""]"	popup_version|start_date|popup_category	2205.0	21.0	0.9523809523809524
"["""",""2020-06-05"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	7546.0	70.0	0.927643784786642
"["""",""2019-12-26"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	34790.0	322.0	0.9255533199195171
"["""",""2020-04-07"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	27993.0	259.0	0.9252313078269567
"[""A"",""2020-05-01"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	4592.0	42.0	0.9146341463414633
"[""B"",""2020-05-06"",""Book Marketing""]"	popup_version|start_date|popup_category	3864.0	35.0	0.9057971014492754
"[""B"",""2020-06-05"",""generator""]"	popup_version|start_date|popup_category	277235.0	2457.0	0.8862517358919328
"[""B"",""2020-05-07"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	98224.0	861.0	0.8765678449258838
"[""B"",""2020-06-05"",""Understanding Publishing""]"	popup_version|start_date|popup_category	21070.0	182.0	0.8637873754152824
"[""B"",""2020-05-27"",""Book Design, Understanding Publishing""]"	popup_version|start_date|popup_category	4788.0	35.0	0.7309941520467835
"[""A"",""2020-02-03"",""discovery""]"	popup_version|start_date|popup_category	3101.0	21.0	0.6772009029345373
"[""A"",""2020-04-28"",""discovery""]"	popup_version|start_date|popup_category	9240.0	56.0	0.6060606060606061
"[""B"",""2020-03-10"",""""]"	popup_version|start_date|popup_category	14588.0	84.0	0.5758157389635317
"[""B"",""2020-02-29"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	13447.0	77.0	0.5726184279021342
"[""B"",""2020-05-26"",""generator""]"	popup_version|start_date|popup_category	118412.0	672.0	0.5675100496571294
"[""B"",""2019-11-28"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	6461.0	35.0	0.5417118093174431
"[""A"",""2020-04-29"",""discovery""]"	popup_version|start_date|popup_category	16198.0	70.0	0.432152117545376
"[""A"",""2020-04-06"",""discovery""]"	popup_version|start_date|popup_category	8554.0	35.0	0.4091653027823241
"[""A"",""2020-06-12"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	5334.0	21.0	0.39370078740157477
"[""A"",""2020-04-27"",""discovery""]"	popup_version|start_date|popup_category	14364.0	56.0	0.3898635477582846
"[""A"",""2020-04-08"",""discovery""]"	popup_version|start_date|popup_category	33264.0	126.0	0.3787878787878788
"[""B"",""2020-01-21"",""discovery""]"	popup_version|start_date|popup_category	7665.0	21.0	0.273972602739726
"[""B"",""2020-04-06"",""discovery""]"	popup_version|start_date|popup_category	8589.0	21.0	0.24449877750611246
"[""B"",""2020-04-29"",""discovery""]"	popup_version|start_date|popup_category	15477.0	35.0	0.22614201718679333
"[""A"",""2020-01-07"",""discovery""]"	popup_version|start_date|popup_category	36750.0	56.0	0.1523809523809524
"[""B"",""2020-04-08"",""discovery""]"	popup_version|start_date|popup_category	33131.0	42.0	0.1267694908092119
"[""B"",""2020-01-07"",""discovery""]"	popup_version|start_date|popup_category	35609.0	42.0	0.11794770984863377
"[""B"",""2020-04-13"",""discovery""]"	popup_version|start_date|popup_category	20965.0	21.0	0.10016694490818029
"[""B"",""2020-05-27"",""bookly News""]"	popup_version|start_date|popup_category	70.0	0.0	0.0
"[""B"",""2020-03-13"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	1701.0	0.0	0.0
"[""B"",""2020-03-02"",""bookly News""]"	popup_version|start_date|popup_category	1554.0	0.0	0.0
"[""A"",""2019-11-04"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	70.0	0.0	0.0
"[""B"",""2020-06-12"",""Book Marketing""]"	popup_version|start_date|popup_category	203.0	0.0	0.0
"[""A"",""2019-10-16"",""Book Marketing""]"	popup_version|start_date|popup_category	105.0	0.0	0.0
"[""A"",""2019-10-15"",""discovery""]"	popup_version|start_date|popup_category	2688.0	0.0	0.0
"[""A"",""2019-10-14"",""Understanding Publishing""]"	popup_version|start_date|popup_category	70.0	0.0	0.0
"["""",""2020-04-01"",""Book Design""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""A"",""2019-10-11"",""discovery""]"	popup_version|start_date|popup_category	161.0	0.0	0.0
"[""A"",""2019-09-23"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	105.0	0.0	0.0
"[""B"",""2020-03-02"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	777.0	0.0	0.0
"[""B"",""2020-03-13"",""discovery""]"	popup_version|start_date|popup_category	2744.0	0.0	0.0
"[""A"",""2019-09-04"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	483.0	0.0	0.0
"[""B"",""2020-03-23"",""generator""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-03-24"",""""]"	popup_version|start_date|popup_category	1120.0	0.0	0.0
"[""B"",""2020-03-24"",""Book Design""]"	popup_version|start_date|popup_category	91.0	0.0	0.0
"[""A"",""2019-08-23"",""Book Marketing""]"	popup_version|start_date|popup_category	287.0	0.0	0.0
"[""A"",""2019-07-30"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""A"",""2019-07-15"",""""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""A"",""2019-11-06"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	70.0	0.0	0.0
"[""B"",""2020-03-02"",""Book Marketing""]"	popup_version|start_date|popup_category	273.0	0.0	0.0
"[""A"",""2019-07-04"",""discovery""]"	popup_version|start_date|popup_category	938.0	0.0	0.0
"[""B"",""2020-06-12"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	161.0	0.0	0.0
"[""B"",""2020-02-21"",""""]"	popup_version|start_date|popup_category	91.0	0.0	0.0
"[""A"",""2019-12-18"",""discovery""]"	popup_version|start_date|popup_category	161.0	0.0	0.0
"[""A"",""2019-12-17"",""discovery""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"["""",""2020-02-27"",""Book Marketing""]"	popup_version|start_date|popup_category	126.0	0.0	0.0
